byte,count
b68d,15
f617,13
c3dc,13
ed30,16
8797,14
826f,12
d70a,19
dbb3,15
e53f,11
6536,14
5fb5,18
a937,13
e1e6,9
0b85,11
ca4b,14
1bad,17
faf7,15
7766,10
78ef,17
60d4,16
c675,8
67d8,11
de15,13
d430,13
02aa,16
8064,13
f2d9,21
ccaf,14
1c82,16
a128,16
2243,20
97a3,12
7582,15
a479,16
3441,10
07d6,11
2fa7,16
0058,9
5ab1,9
d6fe,14
dd69,14
d868,13
c330,18
81ba,10
419a,12
a72b,10
9e40,12
d983,11
0ecc,17
5e20,16
eb4a,18
2eb2,13
6de2,13
f601,15
e951,15
f677,9
8ef7,21
1f59,19
163d,18
a6c2,20
9e3e,21
7ac0,17
fecc,12
c9ab,12
f8aa,20
1adf,18
8f46,14
3bcc,14
9b5d,18
4b4a,11
b7b9,17
9557,10
339f,18
